ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
8FD6A0AC2A466D68,docked_bike,5/11/2020 8:11,5/11/2020 8:38,State St & Pearson St,106,Clark St & Chicago Ave,337,41.8974,-87.6287,41.8968,-87.6309,member
549EEBB18CEFE363,docked_bike,5/5/2020 20:05,5/5/2020 20:25,Clark St & Elm St,176,Wabash Ave & Roosevelt Rd,59,41.903,-87.6313,41.8672,-87.626,member
6C5B2A75178212C0,docked_bike,5/5/2020 11:29,5/5/2020 12:01,Dearborn St & Ads St,37,Green St & Randolph St,112,41.8794,-87.6298,41.8837,-87.6487,member
1F7C956D747B9B6B,docked_bike,5/28/2020 8:31,5/28/2020 8:59,Orleans St & Merchandise Mart Plaza,100,Federal St & Polk St,41,41.8882,-87.6364,41.8721,-87.6295,member
49A4A8732DFF1192,docked_bike,5/21/2020 12:15,5/21/2020 12:35,Michigan Ave & 14th St,168,Wabash Ave & Grand Ave,199,41.8641,-87.6237,41.8915,-87.6268,member
EA29449B11BAA519,docked_bike,5/23/2020 10:09,5/23/2020 10:15,LaSalle St & Illinois St,181,State St & Pearson St,106,41.8908,-87.6317,41.8974,-87.6287,member
347350A8BE0547C9,docked_bike,5/22/2020 20:25,5/22/2020 20:43,Aberdeen St & Randolph St,621,Morgan St & Lake St,71,41.8841,-87.6543,41.8855,-87.6523,member
632B327C36D99D64,docked_bike,5/26/2020 16:43,5/26/2020 16:59,Canal St & Harrison St,169,State St & Randolph St,44,41.8743,-87.6396,41.8847,-87.6277,member
32133A1F5AF79F6D,docked_bike,5/16/2020 11:27,5/16/2020 11:47,Wabash Ave & Grand Ave,199,Larrabee St & Kingsbury St,48,41.8915,-87.6268,41.8978,-87.6429,member
29B3FFB1AA0D29E2,docked_bike,5/25/2020 12:47,5/25/2020 12:55,McClurg Ct & Illinois St,26,Dearborn St & Erie St,110,41.8904,-87.6175,41.894,-87.6293,member
B0E466709B9E0554,docked_bike,5/25/2020 13:30,5/25/2020 13:52,Wells St & Concord Ln,289,Wells St & Concord Ln,289,41.9121,-87.6347,41.9121,-87.6347,member
